aggregation,att,se,t_stat,p_value,ci_lower,ci_upper,n_cells,type,event_time,n_cohorts,post,cohort,n_periods
Overall ATT,0.004429019192236819,0.03665595487695207,0.1208267308027931,0.9038282770951518,-0.06741665236658924,0.07627469075106287,70.0,overall,,,,,
,-0.1612277371079327,0.31212293497915145,,,-0.7729886896670696,0.45053321545120417,,event_time,-11.0,1.0,0.0,,
,-0.03852465499058526,0.2235969915746675,,,-0.47677475847693357,0.399725448495763,,event_time,-10.0,2.0,0.0,,
,-0.021132928082920832,0.1654763153659421,,,-0.34546650620016733,0.30320065003432567,,event_time,-9.0,3.0,0.0,,
,-0.07235092386090529,0.13936623464947434,,,-0.345508743773875,0.20080689605206442,,event_time,-8.0,4.0,0.0,,
,-0.05892018777124638,0.12906109591312856,,,-0.31187993576097833,0.1940395602184856,,event_time,-7.0,5.0,0.0,,
,-0.07160461220868496,0.1266860263300269,,,-0.31990922381553766,0.17669999939816777,,event_time,-6.0,5.0,0.0,,
,-0.05673635344988507,0.12281116020940665,,,-0.2974462274603221,0.18397352056055197,,event_time,-5.0,6.0,0.0,,
,-0.06534520393247024,0.10813093783097534,,,-0.2772818420811819,0.14659143421624143,,event_time,-4.0,7.0,0.0,,
,-0.05868184119873705,0.11336015942180655,,,-0.2808677536654779,0.16350407126800376,,event_time,-3.0,8.0,0.0,,
,-0.004438467633056892,0.10887302146060412,,,-0.21782958969584096,0.20895265442972719,,event_time,-2.0,9.0,0.0,,
,0.0,0.09697410767480143,,,-0.1900692510426108,0.1900692510426108,,event_time,-1.0,10.0,0.0,,
,-0.035298890807693,0.09905974127063746,,,-0.2294559836981424,0.15885820208275642,,event_time,0.0,10.0,1.0,,
,-0.0019125058112412635,0.0991554472480789,,,-0.19625718241747592,0.19243217079499336,,event_time,1.0,10.0,1.0,,
,-0.044642756827966486,0.09638346389807072,,,-0.2335543460681851,0.14426883241225213,,event_time,2.0,9.0,1.0,,
,0.038828009999504705,0.10877624137227825,,,-0.17437342309016066,0.2520294430891701,,event_time,3.0,8.0,1.0,,
,0.008326796342860598,0.11897022595974402,,,-0.22485484653823767,0.24150843922395887,,event_time,4.0,7.0,1.0,,
,0.0148088560737826,0.11984940012713445,,,-0.22009596817540092,0.24971368032296612,,event_time,5.0,6.0,1.0,,
,-0.014610379220279343,0.11669745618950014,,,-0.24333739335169963,0.2141166349111409,,event_time,6.0,5.0,1.0,,
,0.0191099028741578,0.1310264128832713,,,-0.23770186637705393,0.27592167212536955,,event_time,7.0,5.0,1.0,,
,0.005030959874576701,0.16185844706369912,,,-0.31221159637027357,0.32227351611942695,,event_time,8.0,4.0,1.0,,
,0.04548789751027914,0.2072052573134282,,,-0.36063440682404013,0.45161020184459844,,event_time,9.0,3.0,1.0,,
,0.26491110090178316,0.0,,,0.26491110090178316,0.26491110090178316,,event_time,10.0,2.0,1.0,,
,0.4469491089511708,0.0,,,0.4469491089511708,0.4469491089511708,,event_time,11.0,1.0,1.0,,
,0.1297629845034969,0.0,,,0.1297629845034969,0.1297629845034969,,cohort,,,,2011.0,12.0
,0.1917749418290164,0.0,,,0.1917749418290164,0.1917749418290164,,cohort,,,,2012.0,11.0
,-0.13282277087878128,0.10477349164028789,,,-0.33817881449374554,0.07253327273618299,,cohort,,,,2013.0,10.0
,-0.06519482364170273,0.041533441868843037,,,-0.14660036970463508,0.016210722421229617,,cohort,,,,2014.0,9.0
,0.12460305851699024,0.0,,,0.12460305851699024,0.12460305851699024,,cohort,,,,2015.0,8.0
,0.1209513734812709,0.1366381426777121,,,-0.1468593861670448,0.3887621331295866,,cohort,,,,2017.0,6.0
,-0.1382793078747782,0.13076262293860713,,,-0.3945740488344482,0.11801543308489176,,cohort,,,,2018.0,5.0
,0.09352477347758392,0.15317001987406037,,,-0.2066884654755744,0.39373801243074225,,cohort,,,,2019.0,4.0
,-0.06981956115159796,0.1639759513625717,,,-0.3912124258222385,0.2515733035190426,,cohort,,,,2020.0,3.0
,0.12254927336119192,0.2422025419686036,,,-0.3521677088972711,0.597266255619655,,cohort,,,,2021.0,2.0
