comparison_type,treat_cohort,control_cohort,did_estimate,weight,n_treat,n_control,t_pre,t_post,weight_normalized
Earlier vs Later Treated,2005,2012,,0.0621301775147929,1,1,-5,7,0.012258784911699868
Later vs Earlier Treated,2012,2005,0.06211158852969567,0.03254437869822485,1,1,7,11,0.006421268287080884
Earlier vs Later Treated,2005,2013,,0.04437869822485207,1,3,-5,8,0.008756274936928477
Later vs Earlier Treated,2013,2005,-0.17073940746744898,0.03328402366863905,3,1,8,10,0.006567206202696358
Earlier vs Later Treated,2005,2014,,0.047337278106508875,1,2,-5,9,0.009340026599390377
Later vs Earlier Treated,2014,2005,-0.020337747449529986,0.047337278106508875,2,1,9,9,0.009340026599390377
Earlier vs Later Treated,2005,2015,,0.04437869822485207,1,1,-5,10,0.008756274936928477
Later vs Earlier Treated,2015,2005,-0.05374827868539811,0.05917159763313609,1,1,10,8,0.01167503324923797
Earlier vs Later Treated,2005,2017,,0.015779092702169616,1,2,-5,12,0.0031133421997967905
Later vs Earlier Treated,2017,2005,0.18975065175139427,0.055226824457593686,2,1,12,6,0.010896697699288773
Earlier vs Later Treated,2005,2018,,0.0,1,2,-5,13,0.0
Later vs Earlier Treated,2018,2005,-0.02996830682821572,0.05259697567389875,2,1,13,5,0.010377807332655975
Earlier vs Later Treated,2005,2019,,-0.015532544378698214,1,3,-5,14,-0.0030646962279249654
Later vs Earlier Treated,2019,2005,-0.007820658331159858,0.03994082840236687,3,1,14,4,0.007880647443235632
Earlier vs Later Treated,2005,2020,,-0.03328402366863903,1,3,-5,15,-0.0065672062026963535
Later vs Earlier Treated,2020,2005,-0.1582272146826771,0.03328402366863905,3,1,15,3,0.006567206202696358
Earlier vs Later Treated,2005,2021,,-0.06311637080867852,1,2,-5,16,-0.012453368799187172
Later vs Earlier Treated,2021,2005,0.011080951389424776,0.028928336620644313,2,1,16,2,0.0057077940329607856
Earlier vs Later Treated,2008,2011,,0.039447731755424056,2,1,-2,3,0.0077833554994919795
Later vs Earlier Treated,2011,2008,-0.02771830212318982,0.015779092702169616,1,2,3,12,0.0031133421997967905
Earlier vs Later Treated,2008,2012,,0.047337278106508875,2,1,-2,4,0.009340026599390377
Later vs Earlier Treated,2012,2008,0.00031834824509180404,0.028928336620644313,1,2,4,11,0.0057077940329607856
Earlier vs Later Treated,2008,2013,,0.056804733727810655,2,3,-2,5,0.011208031919268453
Later vs Earlier Treated,2013,2008,-0.22241349033272484,0.04260355029585798,3,2,5,10,0.008406023939451338
Earlier vs Later Treated,2008,2014,,0.0621301775147929,2,2,-2,6,0.012258784911699868
Later vs Earlier Treated,2014,2008,-0.10347917307354892,0.05325443786982249,2,2,6,9,0.010507529924314174
Earlier vs Later Treated,2008,2015,,0.055226824457593686,2,1,-2,7,0.010896697699288773
Later vs Earlier Treated,2015,2008,-0.12190230480343567,0.052596975673898747,1,2,7,8,0.010377807332655973
Earlier vs Later Treated,2008,2017,,0.05325443786982249,2,2,-2,9,0.010507529924314174
Later vs Earlier Treated,2017,2008,0.1162944282883982,0.0621301775147929,2,2,9,6,0.012258784911699868
Earlier vs Later Treated,2008,2018,,0.04437869822485207,2,2,-2,10,0.008756274936928477
Later vs Earlier Treated,2018,2008,-0.08969560074699146,0.0591715976331361,2,2,10,5,0.011675033249237972
Earlier vs Later Treated,2008,2019,,0.031242603550295858,2,3,-2,11,0.006164417555597649
Later vs Earlier Treated,2019,2008,-0.08918653000575094,0.05112426035502959,3,2,11,4,0.010087228727341607
Earlier vs Later Treated,2008,2020,,0.017041420118343184,2,3,-2,12,0.0033624095757805333
Later vs Earlier Treated,2020,2008,-0.21570577634412813,0.04260355029585798,3,2,12,3,0.008406023939451338
Earlier vs Later Treated,2008,2021,,0.0,2,2,-2,13,0.0
Later vs Earlier Treated,2021,2008,-0.01892123855333827,0.03254437869822485,2,2,13,2,0.006421268287080884
Earlier vs Later Treated,2011,2012,0.10838783612781255,0.01775147928994083,1,1,1,1,0.003502509974771391
Later vs Earlier Treated,2012,2011,0.026772161352355273,0.03254437869822485,1,1,1,11,0.006421268287080884
Earlier vs Later Treated,2011,2013,-0.0001367583484361834,0.02440828402366864,1,3,1,2,0.004815951215310663
Later vs Earlier Treated,2013,2011,-0.20445699351102808,0.03328402366863905,3,1,2,10,0.006567206202696358
Earlier vs Later Treated,2011,2014,0.007671363110397511,0.039447731755424056,1,2,1,3,0.0077833554994919795
Later vs Earlier Treated,2014,2011,-0.1128071851127388,0.047337278106508875,2,1,3,9,0.009340026599390377
Earlier vs Later Treated,2011,2015,0.19328516643838844,0.05325443786982249,1,1,1,4,0.010507529924314174
Later vs Earlier Treated,2015,2011,-0.04346770373881592,0.05917159763313609,1,1,4,8,0.01167503324923797
Earlier vs Later Treated,2011,2017,-0.018002747585793788,0.055226824457593686,1,2,1,6,0.010896697699288773
Later vs Earlier Treated,2017,2011,0.16849731523380862,0.055226824457593686,2,1,6,6,0.010896697699288773
Earlier vs Later Treated,2011,2018,0.0580145597252717,0.055226824457593686,1,2,1,7,0.010896697699288773
Later vs Earlier Treated,2018,2011,-0.0677176020114868,0.05259697567389875,2,1,7,5,0.010377807332655975
Earlier vs Later Treated,2011,2019,0.14022796404352245,0.04437869822485207,1,3,1,8,0.008756274936928477
Later vs Earlier Treated,2019,2011,-0.0999704237368566,0.03994082840236687,3,1,8,4,0.007880647443235632
Earlier vs Later Treated,2011,2020,0.08494970023801596,0.03994082840236687,1,3,1,9,0.007880647443235632
Later vs Earlier Treated,2020,2011,-0.2020942032159826,0.03328402366863905,3,1,9,3,0.006567206202696358
Earlier vs Later Treated,2011,2021,-0.02735430579309117,0.039447731755424056,1,2,1,10,0.0077833554994919795
Later vs Earlier Treated,2021,2011,-0.024277285863826936,0.028928336620644313,2,1,10,2,0.0057077940329607856
Earlier vs Later Treated,2012,2013,-0.09489211700732159,0.013313609467455622,1,3,2,1,0.0026268824810785434
Later vs Earlier Treated,2013,2012,-0.29593816461002986,0.03328402366863905,3,1,1,10,0.006567206202696358
Earlier vs Later Treated,2012,2014,-0.10148304611197889,0.028928336620644313,1,2,2,2,0.0057077940329607856
Later vs Earlier Treated,2014,2012,-0.1658706223986729,0.047337278106508875,2,1,2,9,0.009340026599390377
Earlier vs Later Treated,2012,2015,-0.012402341311390952,0.04437869822485207,1,1,2,3,0.008756274936928477
Later vs Earlier Treated,2015,2012,-0.11781763839102466,0.05917159763313609,1,1,3,8,0.01167503324923797
Earlier vs Later Treated,2012,2017,-0.015457211501345047,0.05259697567389875,1,2,2,5,0.010377807332655975
Later vs Earlier Treated,2017,2012,0.1666101160227359,0.055226824457593686,2,1,5,6,0.010896697699288773
Earlier vs Later Treated,2012,2018,0.07817744054000297,0.055226824457593686,1,2,2,6,0.010896697699288773
Later vs Earlier Treated,2018,2012,-0.04278699136024755,0.05259697567389875,2,1,6,5,0.010377807332655975
Earlier vs Later Treated,2012,2019,0.09468041029054253,0.04659763313609468,1,3,2,7,0.009194088683774903
Later vs Earlier Treated,2019,2012,-0.03716338157762511,0.03994082840236687,3,1,7,4,0.007880647443235632
Earlier vs Later Treated,2012,2020,0.03274354637600785,0.04437869822485207,1,3,2,8,0.008756274936928477
Later vs Earlier Treated,2020,2012,-0.21496923903907827,0.03328402366863905,3,1,8,3,0.006567206202696358
Earlier vs Later Treated,2012,2021,0.005943437572162091,0.047337278106508875,1,2,2,9,0.009340026599390377
Later vs Earlier Treated,2021,2012,-0.0483942486152118,0.028928336620644313,2,1,9,2,0.0057077940329607856
Earlier vs Later Treated,2013,2014,-0.09880605401795028,0.017041420118343194,3,2,3,1,0.0033624095757805355
Later vs Earlier Treated,2014,2013,0.04997235875392336,0.05112426035502959,2,3,1,9,0.010087228727341607
Earlier vs Later Treated,2013,2015,-0.17669483737219172,0.02440828402366864,3,1,3,2,0.004815951215310663
Later vs Earlier Treated,2015,2013,-0.03102727369569125,0.04437869822485207,1,3,2,8,0.008756274936928477
Earlier vs Later Treated,2013,2017,-0.24429587304293932,0.05112426035502959,3,2,3,4,0.010087228727341607
Later vs Earlier Treated,2017,2013,0.16311679927255174,0.05964497041420118,2,3,4,6,0.011768433515231875
Earlier vs Later Treated,2013,2018,-0.11811441087843833,0.056804733727810655,3,2,3,5,0.011208031919268453
Later vs Earlier Treated,2018,2013,0.01601960266381719,0.056804733727810655,2,3,5,5,0.011208031919268453
Earlier vs Later Treated,2013,2019,-0.0641159783359303,0.0621301775147929,3,3,3,6,0.012258784911699868
Later vs Earlier Treated,2019,2013,0.05850398126093326,0.05325443786982249,3,3,6,4,0.010507529924314174
Earlier vs Later Treated,2013,2020,-0.15992120894260475,0.0621301775147929,3,3,3,7,0.012258784911699868
Later vs Earlier Treated,2020,2013,-0.08631761583766817,0.04437869822485207,3,3,7,3,0.008756274936928477
Earlier vs Later Treated,2013,2021,-0.17223824843453928,0.05680473372781065,3,2,3,8,0.011208031919268452
Later vs Earlier Treated,2021,2013,0.124707236162648,0.031242603550295858,2,3,8,2,0.006164417555597649
Earlier vs Later Treated,2014,2015,-0.013525504424908075,0.015779092702169626,2,1,4,1,0.0031133421997967922
Later vs Earlier Treated,2015,2014,-0.07227573040469726,0.052596975673898747,1,2,1,8,0.010377807332655973
Earlier vs Later Treated,2014,2017,-0.2410349545937972,0.04437869822485207,2,2,4,3,0.008756274936928477
Later vs Earlier Treated,2017,2014,0.012697462830108641,0.0621301775147929,2,2,3,6,0.012258784911699868
Earlier vs Later Treated,2014,2018,-0.04345420545276846,0.05325443786982249,2,2,4,4,0.010507529924314174
Later vs Earlier Treated,2018,2014,-0.07990343853172133,0.0591715976331361,2,2,4,5,0.011675033249237972
Earlier vs Later Treated,2014,2019,0.02388740547262591,0.056804733727810655,2,3,4,5,0.011208031919268453
Later vs Earlier Treated,2019,2014,-0.03653343938981901,0.05112426035502959,3,2,5,4,0.010087228727341607
Earlier vs Later Treated,2014,2020,-0.06939113075183567,0.05964497041420118,2,3,4,6,0.011768433515231875
Later vs Earlier Treated,2020,2014,-0.24869321742150485,0.04260355029585798,3,2,6,3,0.008406023939451338
Earlier vs Later Treated,2014,2021,-0.07341243100567107,0.0621301775147929,2,2,4,7,0.012258784911699868
Later vs Earlier Treated,2021,2014,-0.03552384450541202,0.03254437869822485,2,2,7,2,0.006421268287080884
Earlier vs Later Treated,2015,2017,-0.137758134284376,0.028928336620644313,1,2,5,2,0.0057077940329607856
Later vs Earlier Treated,2017,2015,0.18097842464882208,0.055226824457593686,2,1,2,6,0.010896697699288773
Earlier vs Later Treated,2015,2018,-0.039215614049042724,0.039447731755424056,1,2,5,3,0.0077833554994919795
Later vs Earlier Treated,2018,2015,0.002178192108290511,0.05259697567389875,2,1,3,5,0.010377807332655975
Earlier vs Later Treated,2015,2019,0.09556985948395413,0.03994082840236687,1,3,5,4,0.007880647443235632
Later vs Earlier Treated,2019,2015,0.1699688391508306,0.03994082840236687,3,1,4,4,0.007880647443235632
Earlier vs Later Treated,2015,2020,-0.016796616614451754,0.044378698224852076,1,3,5,5,0.008756274936928479
Later vs Earlier Treated,2020,2015,-0.028375259342544368,0.03328402366863905,3,1,5,3,0.006567206202696358
Earlier vs Later Treated,2015,2021,-0.08258763219687415,0.055226824457593686,1,2,5,6,0.010896697699288773
Later vs Earlier Treated,2021,2015,0.10254780796520435,0.028928336620644313,2,1,6,2,0.0057077940329607856
Earlier vs Later Treated,2017,2018,-0.0934417471122706,0.01775147928994083,2,2,7,1,0.003502509974771391
Later vs Earlier Treated,2018,2017,-0.30984144900808497,0.0591715976331361,2,2,1,5,0.011675033249237972
Earlier vs Later Treated,2017,2019,0.1936491358715785,0.031242603550295858,2,3,7,2,0.006164417555597649
Later vs Earlier Treated,2019,2017,-0.0679667035134125,0.05112426035502959,3,2,2,4,0.010087228727341607
Earlier vs Later Treated,2017,2020,0.13929168023108118,0.04260355029585798,2,3,7,3,0.008406023939451338
Later vs Earlier Treated,2020,2017,-0.23970955599596688,0.04260355029585798,3,2,3,3,0.008406023939451338
Earlier vs Later Treated,2017,2021,0.0792325609884521,0.05325443786982249,2,2,7,4,0.010507529924314174
Later vs Earlier Treated,2021,2017,-0.089280347965774,0.03254437869822485,2,2,4,2,0.006421268287080884
Earlier vs Later Treated,2018,2019,0.059453658745412974,0.017041420118343194,2,3,8,1,0.0033624095757805355
Later vs Earlier Treated,2019,2018,0.05529021237226783,0.05112426035502959,3,2,1,4,0.010087228727341607
Earlier vs Later Treated,2018,2020,0.0019020836797948304,0.031242603550295858,2,3,8,2,0.006164417555597649
Later vs Earlier Treated,2020,2018,-0.11357132123047509,0.04260355029585798,3,2,2,3,0.008406023939451338
Earlier vs Later Treated,2018,2021,-0.04984261456826655,0.04437869822485207,2,2,8,3,0.008756274936928477
Later vs Earlier Treated,2021,2018,0.10681875209510538,0.03254437869822485,2,2,3,2,0.006421268287080884
Earlier vs Later Treated,2019,2020,0.04782551398663015,0.01775147928994083,3,3,9,1,0.003502509974771391
Later vs Earlier Treated,2020,2019,-0.06790783676438195,0.04437869822485207,3,3,1,3,0.008756274936928477
Earlier vs Later Treated,2019,2021,-0.021406018086685075,0.031242603550295858,3,2,9,2,0.006164417555597649
Later vs Earlier Treated,2021,2019,0.09835215134655684,0.031242603550295858,2,3,2,2,0.006164417555597649
Earlier vs Later Treated,2020,2021,-0.1479870472801903,0.017041420118343194,3,2,10,1,0.0033624095757805355
Later vs Earlier Treated,2021,2020,0.0656961161508891,0.031242603550295858,2,3,1,2,0.006164417555597649
