model,outcome,coefficient,std_error,t_statistic,p_value,significance,n_obs,r_squared
Basic TWFE,Fatality Rate,0.018899071108230206,0.035123138787149955,0.5380803584429238,0.5907214406735584,,663,0.00761347052894934
TWFE (VMT-weighted),Fatality Rate,0.014166379861584515,0.03780323798653919,0.37473985341226107,0.7079865841288213,,663,0.006186080435047203
TWFE (Log Rate),Log Fatality Rate,0.023842025120323615,0.029385888737473366,0.8113426595098985,0.41749118628584836,,663,0.0023114931608623213
TWFE (Total Fatalities),Fatalities,-17.02684590371955,41.16559085574521,-0.4136184019169307,0.6793016365503659,,663,-0.00600218864948876
